Age,Playlist (Parent),Category (Child on Dashboard),Notion Alias (Old Name)
0-3,Maths,3D Shapes,
0-3,Animals,Animals,
0-3,Around Us,Around Us,
0-3,Around Us,Celebrate With Everyone,Festivals
0-3,,Community Helpers,
0-3,Maths,Count In Hindi,Hindi Counting
0-3,Maths,Count With Confidence,123
0-3,English Basics,English Basics,
0-3,English Fluency,English Fluency,
0-3,Our World,Explore Nature Around,Nature
0-3,Kids' Favorites,Find Favorite Toys,Toys
0-3,Around Us,Find Things Around,Home Items
0-3,Food,Food,
0-3,,Golden Words,
0-3,Hindi Basics,Hindi Basics,
0-3,Me & My Family,Understand Your Feelings,Emotions
0-3,Kids' Favorites,Kids' Favorites,
0-3,Me & My Family,Know Body Parts,My Body
0-3,Space Adventures,Knowledge,
0-3,Kids' Favorites,Learn Color Names,Colors
0-3,English Basics,Learn New Words,Words
0-3,English Fluency,Learn Opposite Words,Opposites
0-3,English Basics,Learn Your ABC,Abc
0-3,Around Us,Let's Go Outside,Places We Go
0-3,Rhymes & Music,Listen And Enjoy,Music Instruments / Musical Instruments
0-3,Hindi Basics,Listen To Poems,Hindi Poems
0-3,Maths,Maths,
0-3,Me & My Family,Me & My Family,
0-3,Our World,Meet Cute Animals,Animals
0-3,Animals,Meet Farm Friends,Farm Animals
0-3,Animals,Meet Ocean Animals,Sea Animals
0-3,Animals,Meet Tiny Insects,Insects
0-3,Me & My Family,Meet Your Family,My Family / Relationships
0-3,Food,Name Your Fruits,Fruits
0-3,Food,Name Your Veggies,Vegetables
0-3,Our World,Our World,
0-3,Kids' Favorites,Practice Good Habits,Good Habits
0-3,Rhymes & Music,Rhymes & Music,
0-3,,Science,
0-3,Rhymes & Music,Sing Along Rhymes,Rhymes
0-3,Space Adventures,Space Adventures,
0-3,Hindi Basics,Speak Simple Hindi,Hindi Basics
0-3,Animals,Spot Colorful Birds,Birds
0-3,Maths,Spot Different Shapes,Shapes
0-3,Kids' Favorites,Spot Moving Vehicles,Vehicles
0-3,English Basics,Try These Actions,Action Words / Physical Movement
0-3,Our World,Watch Plants Grow,Plants
0-3,Kids' Favorites,What Do They Do,Professions
0-3,Around Us,What's Everyone Wearing,Clothes / Cloths
3-6,Maths,1-100,
3-6,Maths,100-200,
3-6,Maths,3D Shapes,
3-6,Geography,About India,
3-6,,Action Words,Physical Movement
3-6,Maths,Add With Fun,Addition
3-6,Animals,Animals,
3-6,,Art & Craft,
3-6,Animals,Baby Animals,Baby Animals
3-6,Maths,Before & After Numbers,
3-6,Animals,Birds,
3-6,Bright Future,Bright Future,
3-6,Good Habits,Build Good Habits,Good Habits
3-6,Maths,Count With Confidence,123
3-6,Maths,Counting,
3-6,Animals,Dinosaur,
3-6,Kids' Favorites,Discover Fun Toys,Toys
3-6,Maths,Division,
3-6,English Basics,English Basics,
3-6,English Fluency,English Fluency,
3-6,Stories,English Stories,
3-6,Future Scientist,Explore Nature Around,Nature
3-6,Animals,Farm Animals,Farm Animals
3-6,Food,Food,
3-6,Maths,Fractions,
3-6,Future Scientist,Future Scientist,
3-6,Geography,Geography,
3-6,Good Habits,Good Habits,
3-6,Maths,Greater & Lesser,
3-6,Hindi,Hindi,
3-6,Hindi Basics,Hindi Basics,
3-6,Stories,Hindi Stories,
3-6,,Home items,
3-6,Good Habits,How Are You,
3-6,Animals,Insects,
3-6,Animals,Jungle Animals,Wild Animals
3-6,Kids' Favorites,Kids' Favorites,
3-6,English Basics,Know Your Alphabets,Abc
3-6,Good Habits,Know Your Body,My Body
3-6,Food,Know Your Vegetables,Vegetables
3-6,Space Adventures,Knowledge,
3-6,Learn & Explore,Learn & Explore,
3-6,Learn & Explore,Learn Color Names,Colors
3-6,English Fluency,Learn New Words,
3-6,English Fluency,Learn Opposite Words,
3-6,Ready for School,Learn Your Shapes,Shapes
