Age,Notion Name,Resolved Playlist,Resolved Category
0-3,123,Maths,Count With Confidence
0-3,abc,English Basics,Learn Your ABC
0-3,action words,English Basics,Try These Actions
0-3,animals,Our World,Meet Cute Animals
0-3,birds,Animals,Spot Colorful Birds
0-3,clothes,Around Us,What's Everyone Wearing
0-3,cloths,Around Us,What's Everyone Wearing
0-3,colors,Kids' Favorites,Learn Color Names
0-3,emotions,Me & My Family,Understand Your Feelings
0-3,farm animals,Animals,Meet Farm Friends
0-3,festivals,Around Us,Celebrate With Everyone
0-3,fruits,Food,Name Your Fruits
0-3,good habits,Kids' Favorites,Practice Good Habits
0-3,hindi basics,Hindi Basics,Speak Simple Hindi
0-3,hindi counting,Maths,Count In Hindi
0-3,hindi poems,Hindi Basics,Listen To Poems
0-3,home items,Around Us,Find Things Around
0-3,insects,Animals,Meet Tiny Insects
0-3,music instruments,Rhymes & Music,Listen And Enjoy
0-3,musical instruments,Rhymes & Music,Listen And Enjoy
0-3,my body,Me & My Family,Know Body Parts
0-3,my family,Me & My Family,Meet Your Family
0-3,nature,Our World,Explore Nature Around
0-3,learn opposites,English Fluency,Learn Opposite Words
0-3,opposites,English Fluency,Learn Opposite Words
0-3,physical movement,English Basics,Try These Actions
0-3,places we go,Around Us,Let's Go Outside
0-3,plants,Our World,Watch Plants Grow
0-3,professions,Kids' Favorites,What Do They Do
0-3,relationships,Me & My Family,Meet Your Family
0-3,rhymes,Rhymes & Music,Sing Along Rhymes
0-3,sea animals,Animals,Meet Ocean Animals
0-3,shapes,Maths,Spot Different Shapes
0-3,toys,Kids' Favorites,Find Favorite Toys
0-3,vegetables,Food,Name Your Veggies
0-3,vehicles,Kids' Favorites,Spot Moving Vehicles
0-3,words,English Basics,Learn New Words
3-6,123,Maths,Count With Confidence
3-6,abc,English Basics,Know Your Alphabets
3-6,aladdin,Stories,Aladdin
3-6,learn opposites,English Fluency,Learn Opposite Words
3-6,opposites,English Fluency,Learn Opposite Words
3-6,addition,Maths,Add With Fun
3-6,baby animals,Animals,Baby Animals
3-6,colors,Learn & Explore,Learn Color Names
3-6,community helpers,Good Habits,What Do They Do
3-6,cvc,English Basics,Read Simple Words
3-6,cvc words,English Basics,Read Simple Words
3-6,emotions,Good Habits,Understand Your Feelings
3-6,english speaking,English Basics,Speak With Confidence
3-6,farm animals,Animals,Farm Animals
3-6,food,Food,What's On Plate
3-6,food items,Food,What's On Plate
3-6,fruits,Food,Name Tasty Fruits
3-6,good habits,Good Habits,Build Good Habits
3-6,my body,Good Habits,Know Your Body
3-6,nature,Future Scientist,Explore Nature Around
3-6,number ordering,Ready for School,Place Your Numbers
3-6,patterns,Ready for School,Play With Patterns
3-6,phonics,Ready for School,Sounds & Words
3-6,action words,English Fluency,Try These Actions
3-6,physical movement,English Fluency,Try These Actions
3-6,plants,Future Scientist,Watch Plants Grow
3-6,relationships,Me & My Family,My Family
3-6,safety,Good Habits,Stay Safe Everyday
3-6,science,Future Scientist,Science Made Fun
3-6,sea animals,Animals,Water Animals
3-6,shapes,Ready for School,Learn Your Shapes
3-6,sight words,Ready for School,Speak It Right
3-6,simple sentences,English Basics,Start With Sentences
3-6,space,Future Scientist,Visit Outer Space
3-6,subtraction,Maths,Subtract With Fun
3-6,toys,Kids' Favorites,Discover Fun Toys
3-6,tracing 123,Maths,Write Your Numbers
3-6,tracing abc,English Basics,Write Your Alphabets
3-6,vegetables,Food,Know Your Vegetables
3-6,vehicles,Kids' Favorites,Spot Moving Vehicles
3-6,weather,Geography,Why Seasons Change
3-6,wild animals,Animals,Jungle Animals
6+,about india,Geography,Know Your India
6+,animals,Animals,Meet Amazing Animals
6+,community helpers,Good Habits,What Do They Do
6+,countries,Geography,Visit New Countries
6+,countries/geography,Geography,Visit New Countries
6+,emotions,Good Habits,Understand Your Feelings
6+,food,Food,Choose Healthy Foods
6+,good habits,Good Habits,Build Good Habits
6+,knowledge,Space Adventures,Amazing Facts Inside
6+,my body,Science,Know Your Body
6+,nature,Geography,Explore Nature Around
6+,plants,Nature,Watch Plants Grow
6+,safety,Good Habits,Stay Safe Everyday
6+,science,Science,Science Made Fun
6+,seasons,Nature,Why Seasons Change
6+,space,Space Adventures,Explore Outer Space
6+,sports,Kids' Favorites,Explore Different Sports
6+,technology,Space Adventures,How Gadgets Work
6+,weather,Nature,Why Seasons Change
